Id,MSSubClass,MSZoning,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,SalePrice_log,MasVnrType,MasVnrArea,Electrical,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,MSZoning_labeled,LotShape_labeled,LandContour_labeled,Utilities_labeled,LotConfig_labeled,LandSlope_labeled,Neighborhood_labeled,Condition1_labeled,BldgType_labeled,HouseStyle_labeled,RoofStyle_labeled,RoofMatl_labeled,Exterior1st_labeled,Exterior2nd_labeled,ExterQual_labeled,Foundation_labeled,Heating_labeled,HeatingQC_labeled,CentralAir_labeled,KitchenQual_labeled,PavedDrive_labeled,SaleType_labeled,SaleCondition_labeled,MasVnrType_labeled,Electrical_labeled,BsmtQual_labeled,BsmtCond_labeled,BsmtExposure_labeled,BsmtFinType1_labeled
1,60,RL,8450,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,706,0,150,856,GasA,Ex,Y,856,854,0,1710,1,0,2,1,3,1,Gd,8,0,2,548,Y,0,61,0,0,0,0,0,2,WD,Normal,208500,12.247694320220994,BrkFace,196.0,SBrkr,Gd,TA,No,GLQ,3,3,3,0,4,0,5,2,0,5,1,1,12,13,2,2,1,0,1,2,2,8,4,1,4,2,4,4,2
2,20,RL,9600,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,978,0,284,1262,GasA,Ex,Y,1262,0,0,1262,0,1,2,0,3,1,TA,6,1,2,460,Y,298,0,0,0,0,0,0,5,WD,Normal,181500,12.109010932687042,None,0.0,SBrkr,Gd,TA,Gd,ALQ,3,3,3,0,2,0,24,1,0,2,1,1,8,8,3,1,1,0,1,3,2,8,4,2,4,2,4,1,0
3,60,RL,11250,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,486,0,434,920,GasA,Ex,Y,920,866,0,1786,1,0,2,1,3,1,Gd,6,1,2,608,Y,0,42,0,0,0,0,0,9,WD,Normal,223500,12.31716669303576,BrkFace,162.0,SBrkr,Gd,TA,Mn,GLQ,3,0,3,0,4,0,5,2,0,5,1,1,12,13,2,2,1,0,1,2,2,8,4,1,4,2,4,2,2
4,70,RL,9550,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,Gable,CompShg,Wd Sdng,Wd Shng,TA,BrkTil,216,0,540,756,GasA,Gd,Y,961,756,0,1717,1,0,1,0,3,1,Gd,7,1,3,642,Y,0,35,272,0,0,0,0,2,WD,Abnorml,140000,11.84939770159144,None,0.0,SBrkr,TA,Gd,No,ALQ,3,0,3,0,0,0,6,2,0,5,1,1,13,15,3,0,1,2,1,2,2,8,0,2,4,4,1,4,0
5,60,RL,14260,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,655,0,490,1145,GasA,Ex,Y,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,1,3,836,Y,192,84,0,0,0,0,0,12,WD,Normal,250000,12.429216196844383,BrkFace,350.0,SBrkr,Gd,TA,Av,GLQ,3,0,3,0,2,0,15,2,0,5,1,1,12,13,2,2,1,0,1,2,2,8,4,1,4,2,4,0,2
6,50,RL,14115,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,TA,Wood,732,0,64,796,GasA,Ex,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,0,2,480,Y,40,30,0,320,0,0,700,10,WD,Normal,143000,11.870599909242044,None,0.0,SBrkr,Gd,TA,No,GLQ,3,0,3,0,4,0,11,2,0,0,1,1,12,13,3,5,1,0,1,3,2,8,4,2,4,2,4,4,2
7,20,RL,10084,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,1369,0,317,1686,GasA,Ex,Y,1694,0,0,1694,1,0,2,0,3,1,Gd,7,1,2,636,Y,255,57,0,0,0,0,0,8,WD,Normal,307000,12.634603026569334,Stone,186.0,SBrkr,Ex,TA,Av,GLQ,3,3,3,0,4,0,21,2,0,2,1,1,12,13,2,2,1,0,1,2,2,8,4,3,4,0,4,0,2
8,60,RL,10382,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,859,32,216,1107,GasA,Ex,Y,1107,983,0,2090,1,0,2,1,3,1,TA,7,2,2,484,Y,235,204,228,0,0,0,350,11,WD,Normal,200000,12.206072645530174,Stone,240.0,SBrkr,Gd,TA,Mn,ALQ,3,0,3,0,0,0,14,4,0,5,1,1,6,6,3,1,1,0,1,3,2,8,4,3,4,2,4,2,0
9,50,RM,6120,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,Gable,CompShg,BrkFace,Wd Shng,TA,BrkTil,0,0,952,952,GasA,Gd,Y,1022,752,0,1774,0,0,2,0,2,2,TA,8,2,2,468,Y,90,0,205,0,0,0,0,4,WD,Abnorml,129900,11.77452020265869,None,0.0,FuseF,TA,TA,No,Unf,4,3,3,0,4,0,17,0,0,0,1,1,3,15,3,0,1,2,1,3,2,8,0,2,1,4,4,4,6
10,190,RL,7420,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,851,0,140,991,GasA,Ex,Y,1077,0,0,1077,1,0,1,0,2,2,TA,5,2,1,205,Y,0,4,0,0,0,0,0,1,WD,Normal,118000,11.678439903447801,None,0.0,SBrkr,TA,TA,No,GLQ,3,3,3,0,0,0,3,0,1,1,1,1,8,8,3,0,1,0,1,3,2,8,4,2,4,4,4,4,2
11,20,RL,11200,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,906,0,134,1040,GasA,Ex,Y,1040,0,0,1040,1,0,1,0,3,1,TA,5,0,1,384,Y,0,0,0,0,0,0,0,2,WD,Normal,129500,11.771436160121729,None,0.0,SBrkr,TA,TA,No,Rec,3,3,3,0,4,0,19,2,0,2,3,1,6,6,3,1,1,0,1,3,2,8,4,2,4,4,4,4,5
12,60,RL,11924,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,Hip,CompShg,WdShing,Wd Shng,Ex,PConc,998,0,177,1175,GasA,Ex,Y,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,2,3,736,Y,147,21,0,0,0,0,0,7,New,Partial,345000,12.751299696013497,Stone,286.0,SBrkr,Ex,TA,No,GLQ,3,0,3,0,4,0,16,2,0,5,3,1,14,15,0,2,1,0,1,0,2,6,5,3,4,0,4,4,2
13,20,RL,12968,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,Hip,CompShg,HdBoard,Plywood,TA,CBlock,737,0,175,912,GasA,TA,Y,912,0,0,912,1,0,1,0,2,1,TA,4,0,1,352,Y,140,0,0,0,176,0,0,9,WD,Normal,144000,11.877568578558138,None,0.0,SBrkr,TA,TA,No,ALQ,3,1,3,0,4,0,19,2,0,2,3,1,6,10,3,1,1,4,1,3,2,8,4,2,4,4,4,4,0
